Country ,Abr,Year,Happiness
United States,USA,2006,7.1817937
United States,USA,2007,7.5126877
United States,USA,2008,7.280386
United States,USA,2009,7.1580324
United States,USA,2010,7.1636162
United States,USA,2011,7.1151385
United States,USA,2012,7.026227
United States,USA,2013,7.2492852
United States,USA,2014,7.1511145
United States,USA,2015,6.8639469
United States,USA,2016,6.8035998
United States,USA,2017,6.9917593
